Category,Mohave
Total_doses_administered,150163
Total_people_one_dose,86231
Total_people_complete,71415
Total_doses_ordered,126080
total_pouluation,216985
Male-65 years and older,21166
Male-55-64 years,8157
Male-45-54 years,4085
Male-20-44 years,6738
Male-Less than 20 years,1038
Female-65 years and older,23562
Female-55-64 years,9560
Female-45-54 years,4347
Female-20-44 years,6220
Female-Less than 20 years,1205
"Black or African American, non-Hispanic",588
"American Indian or Alaska Native, non-Hispanic",861
"Asian or Pacific Islander, non-Hispanic",1240
Hispanic or Latino,5851
Unknown,14640
Other Race,15549
"White, non-Hispanic",47502
