Category,La Paz
Total_doses_administered,17334
Total_people_one_dose,9510
Total_people_complete,8516
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3102
Male-55-64 years,684
Male-45-54 years,311
Male-20-44 years,495
Male-Less than 20 years,130
Female-65 years and older,3005
Female-55-64 years,836
Female-45-54 years,343
Female-20-44 years,452
Female-Less than 20 years,137
"Black or African American, non-Hispanic",27
"Asian or Pacific Islander, non-Hispanic",70
"American Indian or Alaska Native, non-Hispanic",182
Hispanic or Latino,977
Other Race,1076
Unknown,2592
"White, non-Hispanic",4586
