Category,Coconino
Total_doses_administered,146910
Total_people_one_dose,80500
Total_people_complete,72565
Total_doses_ordered,96258
total_pouluation,147275
Male-65 years and older,7584
Male-55-64 years,5917
Male-45-54 years,5290
Male-20-44 years,15910
Male-Less than 20 years,2867
Female-65 years and older,8686
Female-55-64 years,6627
Female-45-54 years,5480
Female-20-44 years,18441
Female-Less than 20 years,3621
"Black or African American, non-Hispanic",574
"Asian or Pacific Islander, non-Hispanic",1193
Hispanic or Latino,5497
Other Race,9336
"American Indian or Alaska Native, non-Hispanic",16691
Unknown,16727
"White, non-Hispanic",30482
