Category,Greenlee
Total_doses_administered,8393
Total_people_one_dose,4763
Total_people_complete,4209
Total_doses_ordered,9770
total_pouluation,10375
Male-65 years and older,548
Male-55-64 years,592
Male-45-54 years,486
Male-20-44 years,1005
Male-Less than 20 years,48
Female-65 years and older,524
Female-55-64 years,408
Female-45-54 years,366
Female-20-44 years,738
Female-Less than 20 years,45
"Black or African American, non-Hispanic",45
"Asian or Pacific Islander, non-Hispanic",48
"American Indian or Alaska Native, non-Hispanic",84
Other Race,128
Unknown,383
"White, non-Hispanic",1972
Hispanic or Latino,2103
