Category,Santa Cruz
Total_doses_administered,66573
Total_people_one_dose,36793
Total_people_complete,33379
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3558
Male-55-64 years,2583
Male-45-54 years,2920
Male-20-44 years,7145
Male-Less than 20 years,2170
Female-65 years and older,4299
Female-55-64 years,2611
Female-45-54 years,2779
Female-20-44 years,6475
Female-Less than 20 years,2186
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",94
Other Race,1975
Unknown,2296
"White, non-Hispanic",4703
Hispanic or Latino,27677
