Category,Yavapai
Total_doses_administered,184968
Total_people_one_dose,105818
Total_people_complete,89013
Total_doses_ordered,166400
total_pouluation,232386
Male-65 years and older,23622
Male-55-64 years,8300
Male-45-54 years,4720
Male-20-44 years,9098
Male-Less than 20 years,1807
Female-65 years and older,29492
Female-55-64 years,10659
Female-45-54 years,5513
Female-20-44 years,9273
Female-Less than 20 years,2024
"Black or African American, non-Hispanic",524
"American Indian or Alaska Native, non-Hispanic",1050
"Asian or Pacific Islander, non-Hispanic",1376
Hispanic or Latino,6361
Other Race,16248
Unknown,26827
"White, non-Hispanic",53432
