Category,Graham
Total_doses_administered,42647
Total_people_one_dose,20857
Total_people_complete,18400
total_pouluation,20857
Male-65 years and older,2383
Male-55-64 years,1575
Male-45-54 years,1435
Male-20-44 years,3546
Male-Less than 20 years,1104
Female-65 years and older,2892
Female-55-64 years,1715
Female-45-54 years,1416
Female-20-44 years,3575
Female-Less than 20 years,1204
"Asian or Pacific Islander, non-Hispanic",84
"Black or African American, non-Hispanic",92
Other Race,1297
Hispanic or Latino,3734
Unknown,4056
"American Indian or Alaska Native, non-Hispanic",5185
"White, non-Hispanic",6409
