Category,Yavapai
Total_doses_administered,239566
Total_people_one_dose,116170
Total_people_complete,98173
total_pouluation,116170
Male-65 years and older,25673
Male-55-64 years,9108
Male-45-54 years,5005
Male-20-44 years,10094
Male-Less than 20 years,2831
Female-65 years and older,31360
Female-55-64 years,11558
Female-45-54 years,5972
Female-20-44 years,10335
Female-Less than 20 years,3086
"Black or African American, non-Hispanic",548
"Asian or Pacific Islander, non-Hispanic",1411
"American Indian or Alaska Native, non-Hispanic",1414
Hispanic or Latino,7948
Other Race,17112
Unknown,19120
"White, non-Hispanic",68617
