Category,Santa Cruz
Total_doses_administered,106060
Total_people_one_dose,55146
Total_people_complete,43990
total_pouluation,55146
Male-65 years and older,4668
Male-55-64 years,3248
Male-45-54 years,3378
Male-20-44 years,8973
Male-Less than 20 years,6119
Female-65 years and older,5640
Female-55-64 years,3540
Female-45-54 years,3657
Female-20-44 years,9288
Female-Less than 20 years,6552
"Black or African American, non-Hispanic",57
"American Indian or Alaska Native, non-Hispanic",57
"Asian or Pacific Islander, non-Hispanic",184
Other Race,3475
Unknown,3741
"White, non-Hispanic",7463
Hispanic or Latino,40169
