Category,Maricopa
Total_doses_administered,5438209
Total_people_one_dose,2615436
Total_people_complete,2290716
total_pouluation,2615436
Male-65 years and older,283502
Male-55-64 years,187199
Male-45-54 years,181551
Male-20-44 years,433576
Male-Less than 20 years,142445
Female-65 years and older,354490
Female-55-64 years,210779
Female-45-54 years,197020
Female-20-44 years,464753
Female-Less than 20 years,145674
"American Indian or Alaska Native, non-Hispanic",51004
"Black or African American, non-Hispanic",100821
"Asian or Pacific Islander, non-Hispanic",132011
Unknown,174002
Other Race,424739
Hispanic or Latino,436405
"White, non-Hispanic",1296454
