Category,Cochise
Total_doses_administered,158365
Total_people_one_dose,79578
Total_people_complete,66331
total_pouluation,79578
Male-65 years and older,11129
Male-55-64 years,5437
Male-45-54 years,4263
Male-20-44 years,11433
Male-Less than 20 years,5205
Female-65 years and older,13055
Female-55-64 years,6467
Female-45-54 years,4793
Female-20-44 years,12130
Female-Less than 20 years,5565
"American Indian or Alaska Native, non-Hispanic",352
"Asian or Pacific Islander, non-Hispanic",1455
"Black or African American, non-Hispanic",1546
Unknown,9324
Other Race,11781
Hispanic or Latino,22332
"White, non-Hispanic",32788
