Category,Arizona
Total_doses_administered,9375175
Total_people_complete,452394
total_pouluation,7189020
Total_people_one_dose,4576872
Male-65 years and older,560517
Male-55-64 years,326047
Male-45-54 years,294282
Male-20-44 years,729223
Male-Less than 20 years,252572
Female-65 years and older,682820
Female-55-64 years,371377
Female-45-54 years,317510
Female-20-44 years,762861
Female-Less than 20 years,259821
"Black or African American, non-Hispanic",137789
"Asian or Pacific Islander, non-Hispanic",174171
"American Indian or Alaska Native, non-Hispanic",194888
Unknown,415929
Other Race,659898
Hispanic or Latino,844502
"White, non-Hispanic",2149695
