Category,Navajo
Total_doses_administered,97217
Total_people_one_dose,48421
Total_people_complete,40221
total_pouluation,48421
Male-65 years and older,7267
Male-55-64 years,3553
Male-45-54 years,2671
Male-20-44 years,5706
Male-Less than 20 years,4236
Female-65 years and older,8208
Female-55-64 years,4073
Female-45-54 years,2687
Female-20-44 years,5622
Female-Less than 20 years,4362
"Black or African American, non-Hispanic",202
"Asian or Pacific Islander, non-Hispanic",352
Unknown,2234
Hispanic or Latino,2445
Other Race,6259
"White, non-Hispanic",15871
"American Indian or Alaska Native, non-Hispanic",21058
