Category,Coconino
Total_doses_administered,198089
Total_people_one_dose,93541
Total_people_complete,81334
total_pouluation,93541
Male-65 years and older,9343
Male-55-64 years,6304
Male-45-54 years,5742
Male-20-44 years,16980
Male-Less than 20 years,5910
Female-65 years and older,10534
Female-55-64 years,7091
Female-45-54 years,5837
Female-20-44 years,19380
Female-Less than 20 years,6157
"Black or African American, non-Hispanic",774
"Asian or Pacific Islander, non-Hispanic",1603
Hispanic or Latino,7010
Other Race,8592
Unknown,12644
"American Indian or Alaska Native, non-Hispanic",22253
"White, non-Hispanic",40665
