Category,Greenlee
Total_doses_administered,8993
Total_people_one_dose,4306
Total_people_complete,3730
total_pouluation,4306
Male-65 years and older,512
Male-55-64 years,367
Male-45-54 years,323
Male-20-44 years,781
Male-Less than 20 years,207
Female-65 years and older,511
Female-55-64 years,316
Female-45-54 years,325
Female-20-44 years,752
Female-Less than 20 years,210
"Asian or Pacific Islander, non-Hispanic",43
"Black or African American, non-Hispanic",51
Other Race,88
"American Indian or Alaska Native, non-Hispanic",117
Unknown,308
"White, non-Hispanic",1762
Hispanic or Latino,1937
