Category,Pinal
Total_doses_administered,503092
Total_people_one_dose,248680
Total_people_complete,218467
total_pouluation,248680
Male-65 years and older,36486
Male-55-64 years,18211
Male-45-54 years,16684
Male-20-44 years,38015
Male-Less than 20 years,12077
Female-65 years and older,42060
Female-55-64 years,20532
Female-45-54 years,16966
Female-20-44 years,34952
Female-Less than 20 years,11948
"Asian or Pacific Islander, non-Hispanic",5073
"Black or African American, non-Hispanic",9059
"American Indian or Alaska Native, non-Hispanic",9593
Unknown,29303
Other Race,30843
Hispanic or Latino,40066
"White, non-Hispanic",124743
