Category,Santa Cruz
Total_doses_administered,68395
Total_people_one_dose,38296
Total_people_complete,34449
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3580
Male-55-64 years,2608
Male-45-54 years,3001
Male-20-44 years,7479
Male-Less than 20 years,2380
Female-65 years and older,4334
Female-55-64 years,2651
Female-45-54 years,2861
Female-20-44 years,6902
Female-Less than 20 years,2431
"American Indian or Alaska Native, non-Hispanic",16
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",96
Other Race,2007
Unknown,2338
"White, non-Hispanic",4747
Hispanic or Latino,29060
