Category,Maricopa
Total_doses_administered,2943180
Total_people_one_dose,1684830
Total_people_complete,1447611
Total_doses_ordered,1587440
total_pouluation,4367835
Male-65 years and older,178277
Male-55-64 years,124568
Male-45-54 years,122360
Male-20-44 years,280232
Male-Less than 20 years,74067
Female-65 years and older,231494
Female-55-64 years,143933
Female-45-54 years,136341
Female-20-44 years,304936
Female-Less than 20 years,76858
"American Indian or Alaska Native, non-Hispanic",35787
"Black or African American, non-Hispanic",64421
"Asian or Pacific Islander, non-Hispanic",79738
Unknown,166998
Other Race,258306
Hispanic or Latino,301162
"White, non-Hispanic",778418
