Category,Cochise
Total_doses_administered,118171
Total_people_one_dose,66602
Total_people_complete,58397
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10639
Male-55-64 years,5141
Male-45-54 years,3702
Male-20-44 years,9492
Male-Less than 20 years,2477
Female-65 years and older,12580
Female-55-64 years,6166
Female-45-54 years,4276
Female-20-44 years,9479
Female-Less than 20 years,2559
"American Indian or Alaska Native, non-Hispanic",314
"Black or African American, non-Hispanic",1237
"Asian or Pacific Islander, non-Hispanic",1286
Unknown,8875
Other Race,10148
Hispanic or Latino,16045
"White, non-Hispanic",28697
