Category,La Paz
Total_doses_administered,17463
Total_people_one_dose,9603
Total_people_complete,8582
Total_doses_ordered,18600
total_pouluation,22085
Male-65 years and older,3117
Male-55-64 years,689
Male-45-54 years,315
Male-20-44 years,515
Male-Less than 20 years,131
Female-65 years and older,3023
Female-55-64 years,849
Female-45-54 years,348
Female-20-44 years,457
Female-Less than 20 years,139
"Black or African American, non-Hispanic",29
"Asian or Pacific Islander, non-Hispanic",71
"American Indian or Alaska Native, non-Hispanic",183
Hispanic or Latino,988
Other Race,1094
Unknown,2631
"White, non-Hispanic",4607
