Category,Apache
Total_doses_administered,31592
Total_people_one_dose,17728
Total_people_complete,11566
Total_doses_ordered,16600
total_pouluation,71808
Male-65 years and older,1903
Male-55-64 years,1262
Male-45-54 years,964
Male-20-44 years,2292
Male-Less than 20 years,2379
Female-65 years and older,2011
Female-55-64 years,1388
Female-45-54 years,955
Female-20-44 years,2102
Female-Less than 20 years,2462
"Asian or Pacific Islander, non-Hispanic",162
"Black or African American, non-Hispanic",265
Unknown,989
Other Race,1191
Hispanic or Latino,1717
"White, non-Hispanic",3103
"American Indian or Alaska Native, non-Hispanic",10301
