Category,Arizona
Total_doses_administered,7022615
Total_people_complete,3401084
Total_doses_ordered,5255270
total_pouluation,7189020
Total_people_one_dose,3869217
Male-65 years and older,513490
Male-55-64 years,294526
Male-45-54 years,254095
Male-20-44 years,594911
Male-Less than 20 years,150646
Female-65 years and older,633619
Female-55-64 years,339766
Female-45-54 years,279442
Female-20-44 years,629793
Female-Less than 20 years,159543
"Black or African American, non-Hispanic",104397
"American Indian or Alaska Native, non-Hispanic",113642
"Asian or Pacific Islander, non-Hispanic",146954
Unknown,419611
Hispanic or Latino,638515
Other Race,654126
"White, non-Hispanic",1791972
