Category,Navajo
Total_doses_administered,104006
Total_people_one_dose,50488
Total_people_complete,41173
total_pouluation,50488
Male-65 years and older,7475
Male-55-64 years,3642
Male-45-54 years,2779
Male-20-44 years,6010
Male-Less than 20 years,4579
Female-65 years and older,8406
Female-55-64 years,4170
Female-45-54 years,2781
Female-20-44 years,5902
Female-Less than 20 years,4705
"Black or African American, non-Hispanic",209
"Asian or Pacific Islander, non-Hispanic",374
Unknown,2429
Hispanic or Latino,2605
Other Race,6399
"White, non-Hispanic",16330
"American Indian or Alaska Native, non-Hispanic",22142
