Category,Apache
Total_doses_administered,64043
Total_people_one_dose,30437
Total_people_complete,23092
total_pouluation,30437
Male-65 years and older,2851
Male-55-64 years,2081
Male-45-54 years,1675
Male-20-44 years,4017
Male-Less than 20 years,4255
Female-65 years and older,3417
Female-55-64 years,2231
Female-45-54 years,1648
Female-20-44 years,3907
Female-Less than 20 years,4346
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",138
Hispanic or Latino,595
Other Race,1173
Unknown,1176
"White, non-Hispanic",3693
"American Indian or Alaska Native, non-Hispanic",23602
