Category,Mohave
Total_doses_administered,192277
Total_people_one_dose,92371
Total_people_complete,77461
total_pouluation,92371
Male-65 years and older,21417
Male-55-64 years,8434
Male-45-54 years,4383
Male-20-44 years,7768
Male-Less than 20 years,1934
Female-65 years and older,23491
Female-55-64 years,9749
Female-45-54 years,4936
Female-20-44 years,7947
Female-Less than 20 years,2132
"Black or African American, non-Hispanic",640
"American Indian or Alaska Native, non-Hispanic",769
"Asian or Pacific Islander, non-Hispanic",1416
Hispanic or Latino,7514
Unknown,11654
Other Race,14626
"White, non-Hispanic",55752
