Category,La Paz
Total_doses_administered,18668
Total_people_one_dose,9184
Total_people_complete,7594
total_pouluation,9184
Male-65 years and older,2492
Male-55-64 years,644
Male-45-54 years,333
Male-20-44 years,692
Male-Less than 20 years,386
Female-65 years and older,2486
Female-55-64 years,754
Female-45-54 years,385
Female-20-44 years,613
Female-Less than 20 years,380
"Black or African American, non-Hispanic",42
"Asian or Pacific Islander, non-Hispanic",91
"American Indian or Alaska Native, non-Hispanic",548
Other Race,1204
Hispanic or Latino,1367
Unknown,1899
"White, non-Hispanic",4033
