Category,Arizona
Total_doses_administered,10067918
Total_people_complete,3986721
total_pouluation,7189020
Total_people_one_dose,4770280
Male-65 years and older,579150
Male-55-64 years,336514
Male-45-54 years,303810
Male-20-44 years,757725
Male-Less than 20 years,280669
Female-65 years and older,703870
Female-55-64 years,382429
Female-45-54 years,326900
Female-20-44 years,792148
Female-Less than 20 years,287182
"Black or African American, non-Hispanic",145231
"Asian or Pacific Islander, non-Hispanic",182844
"American Indian or Alaska Native, non-Hispanic",206486
Unknown,432136
Other Race,678483
Hispanic or Latino,898939
"White, non-Hispanic",2226161
