Category,Maricopa
Total_doses_administered,5812937
Total_people_one_dose,2707153
Total_people_complete,2330116
total_pouluation,2707153
Male-65 years and older,290395
Male-55-64 years,191803
Male-45-54 years,186229
Male-20-44 years,447770
Male-Less than 20 years,157344
Female-65 years and older,362874
Female-55-64 years,215519
Female-45-54 years,201625
Female-20-44 years,479084
Female-Less than 20 years,160130
"American Indian or Alaska Native, non-Hispanic",53139
"Black or African American, non-Hispanic",105795
"Asian or Pacific Islander, non-Hispanic",137774
Unknown,182426
Other Race,433848
Hispanic or Latino,461267
"White, non-Hispanic",1332904
