Category,Coconino
Total_doses_administered,213343
Total_people_one_dose,96835
Total_people_complete,82633
total_pouluation,96835
Male-65 years and older,9560
Male-55-64 years,6443
Male-45-54 years,5911
Male-20-44 years,17555
Male-Less than 20 years,6493
Female-65 years and older,10748
Female-55-64 years,7237
Female-45-54 years,5952
Female-20-44 years,19937
Female-Less than 20 years,6727
"Black or African American, non-Hispanic",806
"Asian or Pacific Islander, non-Hispanic",1730
Hispanic or Latino,7524
Other Race,8840
Unknown,12432
"American Indian or Alaska Native, non-Hispanic",23169
"White, non-Hispanic",42334
