Category,Yuma
Total_doses_administered,325917
Total_people_one_dose,162562
Total_people_complete,128703
total_pouluation,162562
Male-65 years and older,17464
Male-55-64 years,10823
Male-45-54 years,9394
Male-20-44 years,28719
Male-Less than 20 years,13011
Female-65 years and older,20024
Female-55-64 years,11578
Female-45-54 years,10329
Female-20-44 years,27114
Female-Less than 20 years,13483
"Black or African American, non-Hispanic",856
"American Indian or Alaska Native, non-Hispanic",1195
"Asian or Pacific Islander, non-Hispanic",1256
Other Race,19659
Unknown,29967
"White, non-Hispanic",36122
Hispanic or Latino,73507
