Category,Graham
Total_doses_administered,46158
Total_people_one_dose,21683
Total_people_complete,18872
total_pouluation,21683
Male-65 years and older,2434
Male-55-64 years,1604
Male-45-54 years,1460
Male-20-44 years,3647
Male-Less than 20 years,1300
Female-65 years and older,2942
Female-55-64 years,1744
Female-45-54 years,1431
Female-20-44 years,3698
Female-Less than 20 years,1411
"Asian or Pacific Islander, non-Hispanic",88
"Black or African American, non-Hispanic",97
Other Race,1312
Hispanic or Latino,3919
Unknown,4147
"American Indian or Alaska Native, non-Hispanic",5504
"White, non-Hispanic",6616
