Category,Graham
Total_doses_administered,50731
Total_people_one_dose,22345
Total_people_complete,19197
total_pouluation,22345
Male-65 years and older,2460
Male-55-64 years,1625
Male-45-54 years,1494
Male-20-44 years,3755
Male-Less than 20 years,1447
Female-65 years and older,2968
Female-55-64 years,1761
Female-45-54 years,1453
Female-20-44 years,3807
Female-Less than 20 years,1563
"Asian or Pacific Islander, non-Hispanic",90
"Black or African American, non-Hispanic",100
Other Race,1334
Hispanic or Latino,4058
Unknown,4162
"American Indian or Alaska Native, non-Hispanic",5814
"White, non-Hispanic",6787
