Category,La Paz
Total_doses_administered,19856
Total_people_one_dose,9344
Total_people_complete,7654
total_pouluation,9344
Male-65 years and older,2521
Male-55-64 years,653
Male-45-54 years,339
Male-20-44 years,712
Male-Less than 20 years,406
Female-65 years and older,2509
Female-55-64 years,768
Female-45-54 years,387
Female-20-44 years,636
Female-Less than 20 years,394
"Black or African American, non-Hispanic",44
"Asian or Pacific Islander, non-Hispanic",94
"American Indian or Alaska Native, non-Hispanic",560
Other Race,1223
Hispanic or Latino,1405
Unknown,1923
"White, non-Hispanic",4095
