Category,Maricopa
Total_doses_administered,6403946
Total_people_one_dose,2784621
Total_people_complete,2369417
total_pouluation,2784621
Male-65 years and older,295828
Male-55-64 years,195027
Male-45-54 years,189854
Male-20-44 years,459839
Male-Less than 20 years,170926
Female-65 years and older,369669
Female-55-64 years,219082
Female-45-54 years,205512
Female-20-44 years,491706
Female-Less than 20 years,172903
"American Indian or Alaska Native, non-Hispanic",54812
"Black or African American, non-Hispanic",109987
"Asian or Pacific Islander, non-Hispanic",142569
Unknown,188263
Other Race,441400
Hispanic or Latino,486001
"White, non-Hispanic",1361589
