Category,Greenlee
Total_doses_administered,10339
Total_people_one_dose,4503
Total_people_complete,3892
total_pouluation,4503
Male-65 years and older,520
Male-55-64 years,384
Male-45-54 years,334
Male-20-44 years,811
Male-Less than 20 years,243
Female-65 years and older,523
Female-55-64 years,319
Female-45-54 years,334
Female-20-44 years,782
Female-Less than 20 years,251
"Asian or Pacific Islander, non-Hispanic",49
"Black or African American, non-Hispanic",55
Other Race,98
"American Indian or Alaska Native, non-Hispanic",128
Unknown,304
"White, non-Hispanic",1831
Hispanic or Latino,2038
