Category,Navajo
Total_doses_administered,118201
Total_people_one_dose,52483
Total_people_complete,42134
total_pouluation,52483
Male-65 years and older,7650
Male-55-64 years,3718
Male-45-54 years,2859
Male-20-44 years,6239
Male-Less than 20 years,5020
Female-65 years and older,8612
Female-55-64 years,4247
Female-45-54 years,2875
Female-20-44 years,6123
Female-Less than 20 years,5100
"Black or African American, non-Hispanic",219
"Asian or Pacific Islander, non-Hispanic",391
Unknown,2534
Hispanic or Latino,2758
Other Race,6506
"White, non-Hispanic",16645
"American Indian or Alaska Native, non-Hispanic",23430
