Category,Apache
Total_doses_administered,72024
Total_people_one_dose,31662
Total_people_complete,23537
total_pouluation,31662
Male-65 years and older,2927
Male-55-64 years,2117
Male-45-54 years,1717
Male-20-44 years,4183
Male-Less than 20 years,4503
Female-65 years and older,3522
Female-55-64 years,2296
Female-45-54 years,1714
Female-20-44 years,4057
Female-Less than 20 years,4616
"Black or African American, non-Hispanic",62
"Asian or Pacific Islander, non-Hispanic",144
Hispanic or Latino,620
Unknown,1191
Other Race,1193
"White, non-Hispanic",3763
"American Indian or Alaska Native, non-Hispanic",24689
