Category,Coconino
Total_doses_administered,232165
Total_people_one_dose,98978
Total_people_complete,83805
total_pouluation,98978
Male-65 years and older,9704
Male-55-64 years,6535
Male-45-54 years,5987
Male-20-44 years,17911
Male-Less than 20 years,6865
Female-65 years and older,10913
Female-55-64 years,7305
Female-45-54 years,6033
Female-20-44 years,20344
Female-Less than 20 years,7105
"Black or African American, non-Hispanic",846
"Asian or Pacific Islander, non-Hispanic",1816
Hispanic or Latino,7869
Other Race,8990
Unknown,12267
"American Indian or Alaska Native, non-Hispanic",23858
"White, non-Hispanic",43332
