Category,Yavapai
Total_doses_administered,274926
Total_people_one_dose,122130
Total_people_complete,102015
total_pouluation,122130
Male-65 years and older,26856
Male-55-64 years,9472
Male-45-54 years,5248
Male-20-44 years,10796
Male-Less than 20 years,3233
Female-65 years and older,32602
Female-55-64 years,11961
Female-45-54 years,6227
Female-20-44 years,11045
Female-Less than 20 years,3548
"Black or African American, non-Hispanic",615
"American Indian or Alaska Native, non-Hispanic",1509
"Asian or Pacific Islander, non-Hispanic",1531
Hispanic or Latino,8788
Other Race,17917
Unknown,18426
"White, non-Hispanic",73344
