Category,Gila
Total_doses_administered,62970
Total_people_one_dose,27270
Total_people_complete,23543
total_pouluation,27270
Male-65 years and older,6008
Male-55-64 years,2275
Male-45-54 years,1292
Male-20-44 years,2547
Male-Less than 20 years,908
Female-65 years and older,6387
Female-55-64 years,2673
Female-45-54 years,1442
Female-20-44 years,2732
Female-Less than 20 years,949
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",218
Hispanic or Latino,1555
"American Indian or Alaska Native, non-Hispanic",2960
Other Race,4389
Unknown,4569
"White, non-Hispanic",13482
