Category,Arizona
Total_doses_administered,11157531
Total_people_complete,4058523
total_pouluation,7189020
Total_people_one_dose,4923585
Male-65 years and older,591984
Male-55-64 years,343249
Male-45-54 years,310703
Male-20-44 years,780833
Male-Less than 20 years,305919
Female-65 years and older,718851
Female-55-64 years,390140
Female-45-54 years,334447
Female-20-44 years,816534
Female-Less than 20 years,311047
"Black or African American, non-Hispanic",151244
"Asian or Pacific Islander, non-Hispanic",189637
"American Indian or Alaska Native, non-Hispanic",215615
Unknown,443689
Other Race,692650
Hispanic or Latino,950112
"White, non-Hispanic",2280638
