Category,Mohave
Total_doses_administered,207237
Total_people_one_dose,94313
Total_people_complete,78787
total_pouluation,94313
Male-65 years and older,21831
Male-55-64 years,8547
Male-45-54 years,4471
Male-20-44 years,7975
Male-Less than 20 years,2039
Female-65 years and older,23879
Female-55-64 years,9864
Female-45-54 years,5029
Female-20-44 years,8229
Female-Less than 20 years,2268
"Black or African American, non-Hispanic",661
"American Indian or Alaska Native, non-Hispanic",793
"Asian or Pacific Islander, non-Hispanic",1457
Hispanic or Latino,7809
Unknown,11742
Other Race,14839
"White, non-Hispanic",57012
