Category,Cochise
Total_doses_administered,193508
Total_people_one_dose,87076
Total_people_complete,69717
total_pouluation,87076
Male-65 years and older,11708
Male-55-64 years,5791
Male-45-54 years,4635
Male-20-44 years,12430
Male-Less than 20 years,6584
Female-65 years and older,13693
Female-55-64 years,6885
Female-45-54 years,5180
Female-20-44 years,13160
Female-Less than 20 years,6908
"American Indian or Alaska Native, non-Hispanic",382
"Asian or Pacific Islander, non-Hispanic",1558
"Black or African American, non-Hispanic",1683
Unknown,10565
Other Race,12382
Hispanic or Latino,26130
"White, non-Hispanic",34376
