,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5199770,1488699,16152,87990,123328,44795,16709,7952,15276,1920229,113418,44092,702817,217972,46968,158582,145894
Total_people_one_dose,2996427,825908,9218,51753,67856,24931,9472,4536,8593,1159168,68052,26059,407117,129498,27417,92194,84655
Total_people_complete,2392217,,,,,,,,,,,,,,,,
Total_doses_ordered,4896780,,,,,,,,,,,,,,,,
65 years and older,581226,,,,,,,,,,,,,,,,
55-64 years,294773,,,,,,,,,,,,,,,,
45-54 years,220590,,,,,,,,,,,,,,,,
20-44 years,465547,,,,,,,,,,,,,,,,
Less than 20 years,53347,,,,,,,,,,,,,,,,
65 years and older,68052,,,,,,,,,,,,,,,,
55-64 years,246641,,,,,,,,,,,,,,,,
45-54 years,192566,,,,,,,,,,,,,,,,
20-44 years,418645,,,,,,,,,,,,,,,,
Less than 20 years,46065,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",68032,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",71942,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",110812,,,,,,,,,,,,,,,,
Hispanic or Latino,390786,,,,,,,,,,,,,,,,
Unknown,408472,,,,,,,,,,,,,,,,
Other Race,509545,,,,,,,,,,,,,,,,
"White, non-Hispanic",1436838,,,,,,,,,,,,,,,,
