Category,Pinal
Total_doses_administered,217972
Total_people_one_dose,129498
Total_people_complete,100270
Total_doses_ordered,188650
total_pouluation,455210
Male-65 years and older,26760
Male-55-64 years,10842
Male-45-54 years,8684
Male-20-44 years,16770
Male-Less than 20 years,958
Female-65 years and older,30690
Female-55-64 years,11897
Female-45-54 years,8062
Female-20-44 years,13187
Female-Less than 20 years,1098
"Asian or Pacific Islander, non-Hispanic",0.0134133345688737
"Black or African American, non-Hispanic",0.0193053174566403
"American Indian or Alaska Native, non-Hispanic",0.0452362198643995
Other Race,0.0864028788089391
Hispanic or Latino,0.1345426184188173
Unknown,0.2959814051182258
"White, non-Hispanic",0.4051182257641045
