Category,Maricopa
Total_doses_administered,4802787
Total_people_one_dose,2458275
Total_people_complete,2165546
total_pouluation,2458275
Male-65 years and older,273413
Male-55-64 years,180716
Male-45-54 years,174171
Male-20-44 years,411703
Male-Less than 20 years,110827
Female-65 years and older,342769
Female-55-64 years,204053
Female-45-54 years,189797
Female-20-44 years,441414
Female-Less than 20 years,115009
"American Indian or Alaska Native, non-Hispanic",45158
"Black or African American, non-Hispanic",88832
"Asian or Pacific Islander, non-Hispanic",117250
Unknown,190314
Hispanic or Latino,396035
Other Race,447015
"White, non-Hispanic",1173671
