Category,Apache
Total_doses_administered,37335
Total_people_one_dose,20812
Total_people_complete,12907
total_pouluation,20812
Male-65 years and older,2196
Male-55-64 years,1488
Male-45-54 years,1143
Male-20-44 years,2700
Male-Less than 20 years,2690
Female-65 years and older,2565
Female-55-64 years,1587
Female-45-54 years,1141
Female-20-44 years,2531
Female-Less than 20 years,2763
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",109
Hispanic or Latino,476
Other Race,1233
Unknown,1398
"White, non-Hispanic",3211
"American Indian or Alaska Native, non-Hispanic",14338
