Category,Yuma
Total_doses_administered,253694
Total_people_one_dose,136499
Total_people_complete,117656
total_pouluation,136499
Male-65 years and older,14729
Male-55-64 years,9618
Male-45-54 years,8605
Male-20-44 years,25494
Male-Less than 20 years,7923
Female-65 years and older,17250
Female-55-64 years,10299
Female-45-54 years,9479
Female-20-44 years,24193
Female-Less than 20 years,8457
"Black or African American, non-Hispanic",681
"American Indian or Alaska Native, non-Hispanic",1037
"Asian or Pacific Islander, non-Hispanic",1041
Other Race,14994
"White, non-Hispanic",27855
Unknown,30389
Hispanic or Latino,60502
