Category,Yavapai
Total_doses_administered,199975
Total_people_one_dose,108975
Total_people_complete,92198
total_pouluation,108975
Male-65 years and older,23952
Male-55-64 years,8705
Male-45-54 years,4751
Male-20-44 years,9459
Male-Less than 20 years,2218
Female-65 years and older,29859
Female-55-64 years,11099
Female-45-54 years,5651
Female-20-44 years,9607
Female-Less than 20 years,2526
"Black or African American, non-Hispanic",483
"American Indian or Alaska Native, non-Hispanic",1221
"Asian or Pacific Islander, non-Hispanic",1230
Hispanic or Latino,7202
Other Race,17035
Unknown,24949
"White, non-Hispanic",56855
