Category,Navajo
Total_doses_administered,80965
Total_people_one_dose,43529
Total_people_complete,35984
total_pouluation,43529
Male-65 years and older,6848
Male-55-64 years,3351
Male-45-54 years,2453
Male-20-44 years,5264
Male-Less than 20 years,3161
Female-65 years and older,7750
Female-55-64 years,3815
Female-45-54 years,2446
Female-20-44 years,5076
Female-Less than 20 years,3331
"Black or African American, non-Hispanic",183
"Asian or Pacific Islander, non-Hispanic",356
Hispanic or Latino,2224
Unknown,2573
Other Race,7884
"White, non-Hispanic",13516
"American Indian or Alaska Native, non-Hispanic",16793
