Category,Cochise
Total_doses_administered,129829
Total_people_one_dose,70865
Total_people_complete,62157
total_pouluation,70865
Male-65 years and older,10393
Male-55-64 years,5050
Male-45-54 years,3881
Male-20-44 years,10537
Male-Less than 20 years,3342
Female-65 years and older,12414
Female-55-64 years,6150
Female-45-54 years,4409
Female-20-44 years,11090
Female-Less than 20 years,3505
"American Indian or Alaska Native, non-Hispanic",306
"Asian or Pacific Islander, non-Hispanic",1327
"Black or African American, non-Hispanic",1354
Unknown,9463
Other Race,11473
Hispanic or Latino,17663
"White, non-Hispanic",29279
