Category,Santa Cruz
Total_doses_administered,84803
Total_people_one_dose,45822
Total_people_complete,41251
total_pouluation,45822
Male-65 years and older,4367
Male-55-64 years,3025
Male-45-54 years,3138
Male-20-44 years,8428
Male-Less than 20 years,3218
Female-65 years and older,5269
Female-55-64 years,3276
Female-45-54 years,3330
Female-20-44 years,8382
Female-Less than 20 years,3335
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2874
Other Race,3123
"White, non-Hispanic",6692
Hispanic or Latino,32873
