Category,Coconino
Total_doses_administered,166612
Total_people_one_dose,86414
Total_people_complete,77426
total_pouluation,86414
Male-65 years and older,8897
Male-55-64 years,6031
Male-45-54 years,5500
Male-20-44 years,16118
Male-Less than 20 years,4162
Female-65 years and older,10113
Female-55-64 years,6833
Female-45-54 years,5649
Female-20-44 years,18391
Female-Less than 20 years,4464
"Black or African American, non-Hispanic",659
"Asian or Pacific Islander, non-Hispanic",1389
Hispanic or Latino,6232
Other Race,10549
Unknown,15293
"American Indian or Alaska Native, non-Hispanic",18838
"White, non-Hispanic",33454
