Category,La Paz
Total_doses_administered,15008
Total_people_one_dose,8081
Total_people_complete,7074
total_pouluation,8081
Male-65 years and older,2236
Male-55-64 years,578
Male-45-54 years,301
Male-20-44 years,599
Male-Less than 20 years,243
Female-65 years and older,2288
Female-55-64 years,681
Female-45-54 years,355
Female-20-44 years,537
Female-Less than 20 years,247
"Black or African American, non-Hispanic",32
"Asian or Pacific Islander, non-Hispanic",85
"American Indian or Alaska Native, non-Hispanic",360
Hispanic or Latino,1164
Other Race,1173
Unknown,1866
"White, non-Hispanic",3401
