Category,Mohave
Total_doses_administered,153278
Total_people_one_dose,83472
Total_people_complete,70387
total_pouluation,83472
Male-65 years and older,19220
Male-55-64 years,7755
Male-45-54 years,4000
Male-20-44 years,6899
Male-Less than 20 years,1440
Female-65 years and older,21717
Female-55-64 years,9130
Female-45-54 years,4529
Female-20-44 years,6986
Female-Less than 20 years,1623
"Black or African American, non-Hispanic",517
"American Indian or Alaska Native, non-Hispanic",629
"Asian or Pacific Islander, non-Hispanic",1186
Hispanic or Latino,6413
Unknown,13133
Other Race,14969
"White, non-Hispanic",46625
