Category,Arizona
Total_doses_administered,8108829
Total_people_complete,361440
total_pouluation,7189020
Total_people_one_dose,4225362
Male-65 years and older,528321
Male-55-64 years,309846
Male-45-54 years,279129
Male-20-44 years,683878
Male-Less than 20 years,187907
Female-65 years and older,648987
Female-55-64 years,353880
Female-45-54 years,302225
Female-20-44 years,715335
Female-Less than 20 years,196327
"Black or African American, non-Hispanic",119869
"Asian or Pacific Islander, non-Hispanic",153452
"American Indian or Alaska Native, non-Hispanic",158869
Unknown,465180
Other Race,681441
Hispanic or Latino,747832
"White, non-Hispanic",1898719
