Category,value
Hospitalizations,78045
Day,
Day_pct,
Apache,1073
Cochise,859
Coconino,1601
Gila,836
Graham,397
Greenlee,56
La Paz,295
Maricopa,49351
Mohave,2584
Navajo,1989
Pima,8430
Pinal,5195
Santa Cruz,606
Yavapai,2267
Yuma,2506
0_5,
Less than 20 years,2907
20-44 years,16656
45-54 years,11077
55-64 years,14284
65 years and older,33120
Male,40957
Female,37047
Missing,
"White, non-Hispanic",37229
Hispanic or Latino,24614
"American Indian or Alaska Native, non-Hispanic",5623
"Black or African American, non-Hispanic",3857
"Asian or Pacific Islander, non-Hispanic",1320
Other Race,3405
Unknown,1997
