Category,Mohave
Total_doses_administered,168165
Total_people_one_dose,95425
Total_people_complete,80026
Total_doses_ordered,136600
total_pouluation,216985
Male-65 years and older,22493
Male-55-64 years,8868
Male-45-54 years,4699
Male-20-44 years,8073
Male-Less than 20 years,1566
Female-65 years and older,25002
Female-55-64 years,10335
Female-45-54 years,5008
Female-20-44 years,7533
Female-Less than 20 years,1681
"Black or African American, non-Hispanic",691
"American Indian or Alaska Native, non-Hispanic",997
"Asian or Pacific Islander, non-Hispanic",1375
Hispanic or Latino,7048
Unknown,16251
Other Race,16481
"White, non-Hispanic",52582
