Category,La Paz
Total_doses_administered,18754
Total_people_one_dose,10381
Total_people_complete,9189
Total_doses_ordered,19400
total_pouluation,22085
Male-65 years and older,3222
Male-55-64 years,723
Male-45-54 years,358
Male-20-44 years,644
Male-Less than 20 years,236
Female-65 years and older,3116
Female-55-64 years,881
Female-45-54 years,387
Female-20-44 years,563
Female-Less than 20 years,224
"Black or African American, non-Hispanic",36
"Asian or Pacific Islander, non-Hispanic",79
"American Indian or Alaska Native, non-Hispanic",287
Other Race,1182
Hispanic or Latino,1209
Unknown,2758
"White, non-Hispanic",4830
