Category,Arizona
Total_doses_administered,7853697
Total_people_complete,3768701
Total_doses_ordered,5422016
total_pouluation,7189020
Total_people_one_dose,4257978
Male-65 years and older,557781
Male-55-64 years,312426
Male-45-54 years,277188
Male-20-44 years,671448
Male-Less than 20 years,180075
Female-65 years and older,683792
Female-55-64 years,358993
Female-45-54 years,302244
Female-20-44 years,706053
Female-Less than 20 years,188115
"Black or African American, non-Hispanic",119493
"American Indian or Alaska Native, non-Hispanic",128500
"Asian or Pacific Islander, non-Hispanic",156520
Unknown,449600
Other Race,710659
Hispanic or Latino,734630
"White, non-Hispanic",1958576
