Category,Maricopa
Total_doses_administered,3438041
Total_people_one_dose,1944258
Total_people_complete,1696525
Total_doses_ordered,1721227
total_pouluation,4367835
Male-65 years and older,208557
Male-55-64 years,136668
Male-45-54 years,138014
Male-20-44 years,329481
Male-Less than 20 years,92827
Female-65 years and older,265695
Female-55-64 years,157267
Female-45-54 years,152143
Female-20-44 years,356467
Female-Less than 20 years,95108
"American Indian or Alaska Native, non-Hispanic",42141
"Black or African American, non-Hispanic",76300
"Asian or Pacific Islander, non-Hispanic",87178
Unknown,187772
Other Race,298587
Hispanic or Latino,359680
"White, non-Hispanic",892600
