Category,Coconino
Total_doses_administered,160463
Total_people_one_dose,87561
Total_people_complete,78389
Total_doses_ordered,110439
total_pouluation,147275
Male-65 years and older,8360
Male-55-64 years,6269
Male-45-54 years,5664
Male-20-44 years,17408
Male-Less than 20 years,3504
Female-65 years and older,9448
Female-55-64 years,6969
Female-45-54 years,5815
Female-20-44 years,19887
Female-Less than 20 years,4140
"Black or African American, non-Hispanic",666
"Asian or Pacific Islander, non-Hispanic",1325
Hispanic or Latino,6475
Other Race,10042
Unknown,17230
"American Indian or Alaska Native, non-Hispanic",18280
"White, non-Hispanic",33543
