Category,Apache
Total_doses_administered,36094
Total_people_one_dose,20367
Total_people_complete,13451
Total_doses_ordered,18600
total_pouluation,71808
Male-65 years and older,2123
Male-55-64 years,1434
Male-45-54 years,1130
Male-20-44 years,2769
Male-Less than 20 years,2616
Female-65 years and older,2297
Female-55-64 years,1580
Female-45-54 years,1156
Female-20-44 years,2584
Female-Less than 20 years,2668
"Asian or Pacific Islander, non-Hispanic",181
"Black or African American, non-Hispanic",311
Unknown,1082
Other Race,1344
Hispanic or Latino,2031
"White, non-Hispanic",3489
"American Indian or Alaska Native, non-Hispanic",11929
