Category,Cochise
Total_doses_administered,128941
Total_people_one_dose,71886
Total_people_complete,63315
Total_doses_ordered,94500
total_pouluation,130808
Male-65 years and older,11084
Male-55-64 years,5354
Male-45-54 years,4009
Male-20-44 years,10605
Male-Less than 20 years,3026
Female-65 years and older,13110
Female-55-64 years,6451
Female-45-54 years,4572
Female-20-44 years,10510
Female-Less than 20 years,3072
"American Indian or Alaska Native, non-Hispanic",348
"Asian or Pacific Islander, non-Hispanic",1357
"Black or African American, non-Hispanic",1375
Unknown,9684
Other Race,10875
Hispanic or Latino,17599
"White, non-Hispanic",30648
